,product,year,month,price,date
308,"Рыба мороженая разделанная (кроме лососевых пород), кг",2025,март,280.21,2025-03-01
309,"Рыба мороженая разделанная (кроме лососевых пород), кг",2025,апрель,285.44,2025-04-01
310,"Рыба мороженая разделанная (кроме лососевых пород), кг",2025,май,293.91,2025-05-01
311,"Рыба мороженая разделанная (кроме лососевых пород), кг",2025,июнь,298.44,2025-06-01
312,"Рыба мороженая разделанная (кроме лососевых пород), кг",2025,июль,294.2,2025-07-01
313,"Рыба мороженая разделанная (кроме лососевых пород), кг",2025,август,299.89,2025-08-01
314,"Рыба мороженая разделанная (кроме лососевых пород), кг",2025,сентябрь,296.44,2025-09-01
315,"Рыба мороженая неразделанная, кг",2024,январь,145.9,2024-01-01
316,"Рыба мороженая неразделанная, кг",2024,февраль,143.45,2024-02-01
317,"Рыба мороженая неразделанная, кг",2024,март,142.63,2024-03-01
318,"Рыба мороженая неразделанная, кг",2024,апрель,140.25,2024-04-01
319,"Рыба мороженая неразделанная, кг",2024,май,138.74,2024-05-01
320,"Рыба мороженая неразделанная, кг",2024,июнь,138.35,2024-06-01
321,"Рыба мороженая неразделанная, кг",2024,июль,137.74,2024-07-01
322,"Рыба мороженая неразделанная, кг",2024,август,139.96,2024-08-01
323,"Рыба мороженая неразделанная, кг",2024,сентябрь,140.53,2024-09-01
324,"Рыба мороженая неразделанная, кг",2024,октябрь,142.19,2024-10-01
325,"Рыба мороженая неразделанная, кг",2024,ноябрь,148.6,2024-11-01
326,"Рыба мороженая неразделанная, кг",2024,декабрь,160.72,2024-12-01
327,"Рыба мороженая неразделанная, кг",2025,январь,181.69,2025-01-01
328,"Рыба мороженая неразделанная, кг",2025,февраль,189.61,2025-02-01
329,"Рыба мороженая неразделанная, кг",2025,март,191.76,2025-03-01
330,"Рыба мороженая неразделанная, кг",2025,апрель,191.3,2025-04-01
331,"Рыба мороженая неразделанная, кг",2025,май,198.54,2025-05-01
332,"Рыба мороженая неразделанная, кг",2025,июнь,204.65,2025-06-01
333,"Рыба мороженая неразделанная, кг",2025,июль,204.29,2025-07-01
334,"Рыба мороженая неразделанная, кг",2025,август,211.5,2025-08-01
335,"Рыба мороженая неразделанная, кг",2025,сентябрь,216.7,2025-09-01
336,"Икра лососевых рыб, отечественная, кг",2024,январь,5105.07,2024-01-01
337,"Икра лососевых рыб, отечественная, кг",2024,февраль,5211.61,2024-02-01
338,"Икра лососевых рыб, отечественная, кг",2024,март,5200.87,2024-03-01
339,"Икра лососевых рыб, отечественная, кг",2024,апрель,5007.32,2024-04-01
340,"Икра лососевых рыб, отечественная, кг",2024,май,5034.02,2024-05-01
341,"Икра лососевых рыб, отечественная, кг",2024,июнь,5027.48,2024-06-01
342,"Икра лососевых рыб, отечественная, кг",2024,июль,5262.78,2024-07-01
343,"Икра лососевых рыб, отечественная, кг",2024,август,5386.59,2024-08-01
344,"Икра лососевых рыб, отечественная, кг",2024,сентябрь,6320.5,2024-09-01
345,"Икра лососевых рыб, отечественная, кг",2024,октябрь,6677.41,2024-10-01
346,"Икра лососевых рыб, отечественная, кг",2024,ноябрь,6672.01,2024-11-01
347,"Икра лососевых рыб, отечественная, кг",2024,декабрь,6715.93,2024-12-01
348,"Икра лососевых рыб, отечественная, кг",2025,январь,7068.39,2025-01-01
349,"Икра лососевых рыб, отечественная, кг",2025,февраль,7105.04,2025-02-01
350,"Икра лососевых рыб, отечественная, кг",2025,март,7088.93,2025-03-01
351,"Икра лососевых рыб, отечественная, кг",2025,апрель,7242.73,2025-04-01
352,"Икра лососевых рыб, отечественная, кг",2025,май,7242.73,2025-05-01
353,"Икра лососевых рыб, отечественная, кг",2025,июнь,7410.86,2025-06-01
354,"Икра лососевых рыб, отечественная, кг",2025,июль,7410.86,2025-07-01
355,"Икра лососевых рыб, отечественная, кг",2025,август,7478.94,2025-08-01
356,"Икра лососевых рыб, отечественная, кг",2025,сентябрь,7515.61,2025-09-01
357,"Соленые и копченые деликатесные продукты из рыбы, кг",2024,январь,1923.06,2024-01-01
358,"Соленые и копченые деликатесные продукты из рыбы, кг",2024,февраль,1873.38,2024-02-01
359,"Соленые и копченые деликатесные продукты из рыбы, кг",2024,март,1873.38,2024-03-01
360,"Соленые и копченые деликатесные продукты из рыбы, кг",2024,апрель,1904.09,2024-04-01
361,"Соленые и копченые деликатесные продукты из рыбы, кг",2024,май,1896.67,2024-05-01
362,"Соленые и копченые деликатесные продукты из рыбы, кг",2024,июнь,1913.33,2024-06-01
363,"Соленые и копченые деликатесные продукты из рыбы, кг",2024,июль,1868.69,2024-07-01
364,"Соленые и копченые деликатесные продукты из рыбы, кг",2024,август,1903.93,2024-08-01
365,"Соленые и копченые деликатесные продукты из рыбы, кг",2024,сентябрь,1930.46,2024-09-01
366,"Соленые и копченые деликатесные продукты из рыбы, кг",2024,октябрь,2014.1,2024-10-01
367,"Соленые и копченые деликатесные продукты из рыбы, кг",2024,ноябрь,2055.44,2024-11-01
368,"Соленые и копченые деликатесные продукты из рыбы, кг",2024,декабрь,2046.5,2024-12-01
369,"Соленые и копченые деликатесные продукты из рыбы, кг",2025,январь,2101.97,2025-01-01
